month,price
2010-07,0.06754579895
2010-08,0.06
2010-09,0.0619
2010-10,0.1925
2010-11,0.2082
2010-12,0.3
2011-01,0.5251368703
2011-02,0.8602209234
2011-03,0.78461
2011-04,3.5
2011-05,8.721576422
2011-06,16.18526278
2011-07,13.3729061
2011-08,8.199151764
2011-09,5.14368591
2011-10,3.265098213
2011-11,2.966041546
2011-12,4.714306331
2012-01,5.538220296
2012-02,4.872748756
2012-03,4.889776873
2012-04,4.94211681
2012-05,5.181639721
2012-06,6.680427623
2012-07,9.320998402
2012-08,10.10240982
2012-09,12.39162247
2012-10,11.14607184
2012-11,12.58613893
2012-12,13.54555244
2013-01,20.51164303
2013-02,33.37529394
2013-03,93.89923842
2013-04,139.1296475
2013-05,127.8164889
2013-06,89.48090766
2013-07,98.02441993
2013-08,128.377979
2013-09,126.0902618
2013-10,203.2836499
2013-11,1119.296715
2013-12,729.5575829
2014-01,803.2375988
2014-02,551.2947703
2014-03,455.3553541
2014-04,448.8757155
2014-05,627.8924207
2014-06,638.946114
2014-07,581.975562
2014-08,478.5114255
2014-09,389.2640404
2014-10,337.1829126
2014-11,378.6903971
2014-12,320.6622873
2015-01,217.332156
2015-02,254.9484486
2015-03,244.7124857
2015-04,236.327976
2015-05,229.4505479
2015-06,263.8543569
2015-07,284.5973244
2015-08,230.6894661
2015-09,236.739848
2015-10,314.1195082
2015-11,377.3898399
2015-12,429.6771534
2016-01,366.3416876
2016-02,437.7758726
2016-03,415.9568112
2016-04,449.9004845
2016-05,530.9436928
2016-06,674.2848147
2016-07,624.8044871
2016-08,572.2727583
2016-09,608.8658407
2016-10,698.897728
2016-11,742.2044513
2016-12,968.970597
2017-01,968.4991057
2017-02,1188.399941
2017-03,1081.743531
2017-04,1381.956372
2017-05,2299.43261
2017-06,2452.712064
2017-07,2862.611291
2017-08,4740.356218
2017-09,4334.544613
2017-10,6428.514637
2017-11,9996.714972
2017-12,13921.48064
2018-01,10050.0958
2018-02,10307.02497
2018-03,6922.281297
2018-04,9228.726484
2018-05,7478.741867
2018-06,6375.541231
2018-07,7725.133036
2018-08,7025.14078
2018-09,6604.485028
2018-10,6306.316931
2018-11,3973.334052
2018-12,3687.19994
2019-01,3410.131616
2019-02,3792.947723
2019-03,4094.317815
2019-04,5266.618203
2019-05,8556.222186
2019-06,10842.61671
2019-07,10059.00402
2019-08,9605.024461
2019-09,8282.365454
2019-10,9155.277299
2019-11,7556.193721
2019-12,7167.395055
2020-01,9357.284782
2020-02,8582.0903
2020-03,6432.383242
2020-04,8652.410991
2020-05,9433.943847
2020-06,9143.967585
2020-07,11338.19734
2020-08,11678.34823
2020-09,10772.35177
2020-10,13807.23361
2020-11,19664.40761
2020-12,29022.67141
2021-01,33157.83257
2021-02,45359.46416
2021-03,58792.19483
2021-04,57741.44442
2021-05,37312.9749
2021-06,35065.46615
2021-07,41793.31375
2021-08,47219.24434
2021-09,43781.54602
2021-10,61432.97006
2021-11,57097.01279
2021-12,46355.11733
2022-01,38462.6724
2022-02,43179.25451
2022-03,45562.21067
2022-04,37714.09498
2022-05,31831.40953
2022-06,19332.91213
2022-07,23356.17222
2022-08,20024.67161
2022-09,19435.19469
2022-10,20490.85818
2022-11,17176.89869
2022-12,16524.2178
2023-01,23130.05191
2023-02,23145.94913
2023-03,28514.68131
2023-04,29362.0868
2023-05,27217.68326
2023-06,30484.50326
2023-07,29219.82019
2023-08,25954.86659
2023-09,26977.69331
2023-10,34636.42647
2023-11,37712.71148
2023-12,42217.15879
2024-01,42589.47081
2024-02,61394.78185
2024-03,71227.45179
2024-04,60636.32616
2024-05,67377.76261
2024-06,62763.27969
2024-07,64690.63404
2024-08,58959.92627
2024-09,63260.04255
2024-10,70367.08196
2024-11,96463.6249
2024-12,93389.7326
2025-01,102263.0437
2025-02,84243.77791
2025-03,82461.44963
2025-04,94236.73251
2025-05,104708.9642
2025-06,107153.1011
2025-07,115848.34
2025-08,108316.4469
2025-09,113971.7428
2025-10,109554.2396
2025-11,90607.70215
2025-12,87516.97804
2026-01,78702.3855
2026-02,66965.63531
2026-03,68214.86804
2026-04,76299.61613
2026-05,76619.86661
